Crop, Rainfall, Temperature, pH 
Bajra,270.0,17.73,6
Banana,689.0,17.83,6
Barley,689.0,17.83,6
Bean,108.9,16.73,6
Black pepper,1281.4,17.53,6
Blackgram,108.9,16.73,6
Bottle Gourd,108.9,16.73,6
Brinjal,270.0,17.73,6
Cabbage,689.0,17.83,6
Cardamom,1331.9,16.26,6
Carrot,689.0,17.83,6
Castor seed,1281.4,17.53,6
Cauliflower,689.0,17.83,6
Chillies,270.0,17.73,6
Colocosia,1281.4,17.53,6
Coriander,270.0,17.73,6
Cotton,689.0,17.83,6
Cowpea,1074.9,17.73,6
Drum Stick,689.0,17.83,6
Garlic,689.0,17.83,6
Ginger,1331.9,16.26,6
Gram,689.0,17.83,6
Grapes,689.0,17.83,6
Groundnut,270.0,17.73,6
Guar seed,270.0,17.73,6
Horse-gram,1281.4,17.53,6
Jowar,270.0,17.73,6
Jute,689.0,17.83,6
Khesari,689.0,17.83,6
Lady Finger,108.9,16.73,6
Lentil,270.0,17.73,6
Linseed,1074.9,17.73,6
Maize,1281.4,17.53,6
Mesta,689.0,17.83,6
Moong(Green Gram),108.9,16.73,6
Moth,270.0,17.73,6
Onion,689.0,17.83,6
Orange,689.0,17.83,6
Papaya,1539.3,13.27,6
Peas & beans (Pulses),270.0,17.73,6
Potato,270.0,17.73,6
Raddish,108.9,16.73,6
Ragi,689.0,17.83,6
Rice,1074.9,17.73,6
Safflower,689.0,17.83,6
Sannhamp,1074.9,17.73,6
Sesamum,689.0,17.83,6
Soyabean,689.0,17.83,6
Sugarcane,1539.3,13.27,6
Sunflower,689.0,17.83,6
Sweet potato,1074.9,17.73,6
Tapioca,1074.9,17.73,6
Tomato,689.0,17.83,6
Turmeric,1331.9,16.26,6
Urad,270.0,17.73,6
Varagu,689.0,17.83,6
Wheat,270.0,17.73,6
